CODE     |STATE|DAERAH    |BDR/MKM/PKN|SECTION
----------------------------------------------
010101000|JOHOR|BATU PAHAT|BAGAN|0
010102000|JOHOR|BATU PAHAT|CHAAH BAHRU|0
010103000|JOHOR|BATU PAHAT|KAMPUNG BAHRU|0
010104000|JOHOR|BATU PAHAT|LINAU|0
010105000|JOHOR|BATU PAHAT|LUBOK|0
010106000|JOHOR|BATU PAHAT|MINYAK BEKU|0
010107000|JOHOR|BATU PAHAT|PESERAI|0
010108000|JOHOR|BATU PAHAT|SERI GADING|0
010109000|JOHOR|BATU PAHAT|SERI MEDAN|0
010110000|JOHOR|BATU PAHAT|SIMPANG KANAN|0
010111000|JOHOR|BATU PAHAT|SIMPANG KIRI|0
010112000|JOHOR|BATU PAHAT|SUNGAI KLUANG|0
010113000|JOHOR|BATU PAHAT|SUNGAI PUNGGOR|0
010114000|JOHOR|BATU PAHAT|TANJUNG SEMBRONG|0
010140000|JOHOR|BATU PAHAT|AYER HITAM|0
010141000|JOHOR|BATU PAHAT|BANDAR PENGGARAM|0
010142000|JOHOR|BATU PAHAT|RENGIT|0
010143000|JOHOR|BATU PAHAT|SENGGARANG|0
010144000|JOHOR|BATU PAHAT|YONG PENG|0
010201000|JOHOR|JOHOR BAHRU|JELUTONG|0
010202000|JOHOR|JOHOR BAHRU|PLENTONG|0
010203000|JOHOR|JOHOR BAHRU|PULAI|0
010204000|JOHOR|JOHOR BAHRU|SEDENAK|0
010205000|JOHOR|JOHOR BAHRU|SENAI KULAI|0
010206000|JOHOR|JOHOR BAHRU|SUNGAI TIRAM|0
010207000|JOHOR|JOHOR BAHRU|TANJONG KUPANG|0
010208000|JOHOR|JOHOR BAHRU|TEBRAU|0
010240000|JOHOR|JOHOR BAHRU|JOHOR BAHRU|0
010241000|JOHOR|JOHOR BAHRU|KULAI|0
010242000|JOHOR|JOHOR BAHRU|TEBRAU|0
010301000|JOHOR|KLUANG|ULU BENUT|0
010302000|JOHOR|KLUANG|KAHANG|0
010303000|JOHOR|KLUANG|KLUANG|0
010304000|JOHOR|KLUANG|LAYANG LAYANG|0
010305000|JOHOR|KLUANG|MACHAP|0
010306000|JOHOR|KLUANG|NIYOR|0
010307000|JOHOR|KLUANG|PALOH|0
010308000|JOHOR|KLUANG|RENGAM|0
010340000|JOHOR|KLUANG|KLUANG|0
010341000|JOHOR|KLUANG|PALOH|0
010342000|JOHOR|KLUANG|RENGAM|0
010401000|JOHOR|KOTA TINGGI|ULU SUNGAI JOHOR|0
010402000|JOHOR|KOTA TINGGI|ULU SUNGAI SEDILI BESAR|0
010403000|JOHOR|KOTA TINGGI|JOHOR LAMA|0
010404000|JOHOR|KOTA TINGGI|KAMBAU|0
010405000|JOHOR|KOTA TINGGI|KOTA TINGGI|0
010406000|JOHOR|KOTA TINGGI|PANTAI TIMOR|0
010407000|JOHOR|KOTA TINGGI|PENGERANG|0
010408000|JOHOR|KOTA TINGGI|SEDILI BESAR|0
010409000|JOHOR|KOTA TINGGI|SEDILI KECHIL|0
010410000|JOHOR|KOTA TINGGI|TANJONG SURAT|0
010440000|JOHOR|KOTA TINGGI|KOTA TINGGI|0
010501000|JOHOR|MERSING|JEMALUANG|0
010502000|JOHOR|MERSING|LENGGOR|0
010503000|JOHOR|MERSING|MERSING|0
010504000|JOHOR|MERSING|PADANG ENDAU|0
010505000|JOHOR|MERSING|PENYABONG|0
010506000|JOHOR|MERSING|PULAU AUR|0
010507000|JOHOR|MERSING|PULAU BABI|0
010508000|JOHOR|MERSING|PULAU PEMANGGIL|0
010509000|JOHOR|MERSING|PULAU SIBU|0
010510000|JOHOR|MERSING|PULAU TINGGI|0
010511000|JOHOR|MERSING|SEMBRONG|0
010512000|JOHOR|MERSING|TENGGAROH|0
010513000|JOHOR|MERSING|TENGLU|0
010514000|JOHOR|MERSING|TRIANG|0
010540000|JOHOR|MERSING|JEMALUANG|0
010541000|JOHOR|MERSING|MERSING|0
010542000|JOHOR|MERSING|MERSING KANAN|0
010543000|JOHOR|MERSING|PADANG ENDAU|0
010601000|JOHOR|MUAR|AYER HITAM|0
010602000|JOHOR|MUAR|BANDAR|0
010603000|JOHOR|MUAR|BUKIT KEPONG|0
010604000|JOHOR|MUAR|BUKIT SERAMPANG|0
010605000|JOHOR|MUAR|GRISEK|0
010606000|JOHOR|MUAR|JALAN BAKRI|0
010607000|JOHOR|MUAR|JORAK|0
010608000|JOHOR|MUAR|KESANG|0
010609000|JOHOR|MUAR|KUNDANG|0
010610000|JOHOR|MUAR|LENGA|0
010611000|JOHOR|MUAR|PARIT BAKAR|0
010612000|JOHOR|MUAR|PARIT JAWA|0
010613000|JOHOR|MUAR|SERI MENANTI|0
010614000|JOHOR|MUAR|SEROM|0
010615000|JOHOR|MUAR|SUNGAI BALANG|0
010616000|JOHOR|MUAR|SUNGAI RAYA|0
010617000|JOHOR|MUAR|SUNGAI TERAP|0
010618000|JOHOR|MUAR|TANGKAK|0
010640000|JOHOR|MUAR|BANDAR MAHARANI|0
010641000|JOHOR|MUAR|BUKIT KANGKAR|0
010642000|JOHOR|MUAR|BUKIT KEPONG|0
010643000|JOHOR|MUAR|PANCHOR|0
010644000|JOHOR|MUAR|PARIT BUNGA|0
010645000|JOHOR|MUAR|PARIT JAWA|0
010646000|JOHOR|MUAR|SEROM|0
010647000|JOHOR|MUAR|SUNGAI MATI|0
010648000|JOHOR|MUAR|TANGKAK|0
010670000|JOHOR|MUAR|BUKIT PASIR|0
010671000|JOHOR|MUAR|GRISEK|0
010701000|JOHOR|PONTIAN|AYER BALOI|0
010702000|JOHOR|PONTIAN|AYER MASIN|0
010703000|JOHOR|PONTIAN|API API|0
010704000|JOHOR|PONTIAN|BENUT|0
010705000|JOHOR|PONTIAN|JERAM BATU|0
010706000|JOHOR|PONTIAN|PENGKALAN RAJA|0
010707000|JOHOR|PONTIAN|PONTIAN|0
010708000|JOHOR|PONTIAN|RIMBA TERJUN|0
010709000|JOHOR|PONTIAN|SERKAT|0
010710000|JOHOR|PONTIAN|SUNGAI KARANG|0
010711000|JOHOR|PONTIAN|SUNGAI PINGGAN|0
010740000|JOHOR|PONTIAN|BENUT|0
010741000|JOHOR|PONTIAN|PONTIAN KECHIL|0
010770000|JOHOR|PONTIAN|PEKAN NENAS|0
010801000|JOHOR|SEGAMAT|BEKOK|0
010802000|JOHOR|SEGAMAT|BULOH KASAP|0
010803000|JOHOR|SEGAMAT|CHAAH|0
010804000|JOHOR|SEGAMAT|GEMAS|0
010805000|JOHOR|SEGAMAT|GEMEREH|0
010806000|JOHOR|SEGAMAT|JABI|0
010807000|JOHOR|SEGAMAT|JEMENTAH|0
010808000|JOHOR|SEGAMAT|LABIS|0
010809000|JOHOR|SEGAMAT|POGOH|0
010810000|JOHOR|SEGAMAT|SERMIN|0
010811000|JOHOR|SEGAMAT|SUNGAI SEGAMAT|0
010840000|JOHOR|SEGAMAT|BATU ANAM|0
010841000|JOHOR|SEGAMAT|BEKOK|0
010842000|JOHOR|SEGAMAT|BULOH KASAP|0
010843000|JOHOR|SEGAMAT|JEMENTAH|0
010844000|JOHOR|SEGAMAT|LABIS|0
010845000|JOHOR|SEGAMAT|SEGAMAT|0
010870000|JOHOR|SEGAMAT|GEMAS BAHRU|0
020101000|KEDAH|ALOR STAR|ALUR MALAI|0
020102000|KEDAH|ALOR STAR|ALUR MERAH|0
020103000|KEDAH|ALOR STAR|ANAK BUKIT|0
020104000|KEDAH|ALOR STAR|BUKIT LADA|0
020105000|KEDAH|ALOR STAR|BUKIT PINANG|0
020106000|KEDAH|ALOR STAR|DERANG|0
020107000|KEDAH|ALOR STAR|DERGA|0
020108000|KEDAH|ALOR STAR|GAJAH MATI|0
020109000|KEDAH|ALOR STAR|GUNUNG|0
020110000|KEDAH|ALOR STAR|HUTAN KAMPUNG|0
020111000|KEDAH|ALOR STAR|JABI|0
020112000|KEDAH|ALOR STAR|KANGKUNG|0
020113000|KEDAH|ALOR STAR|ALOR SETAR|0
020114000|KEDAH|ALOR STAR|KUALA KEDAH|0
020115000|KEDAH|ALOR STAR|KUBANG ROTAN|0
020116000|KEDAH|ALOR STAR|LANGGAR|0
020117000|KEDAH|ALOR STAR|LENGKUAS|0
020118000|KEDAH|ALOR STAR|LEPAI|0
020119000|KEDAH|ALOR STAR|LESUNG|0
020120000|KEDAH|ALOR STAR|LIMBUNG|0
020121000|KEDAH|ALOR STAR|MERGUNG|0
020122000|KEDAH|ALOR STAR|PADANG HANG|0
020123000|KEDAH|ALOR STAR|PADANG LALANG|0
020124000|KEDAH|ALOR STAR|PENGKALAN KUNDUR|0
020125000|KEDAH|ALOR STAR|PUMPUNG|0
020126000|KEDAH|ALOR STAR|SALA KECIL|0
020127000|KEDAH|ALOR STAR|SUNGAI BAHARU|0
020128000|KEDAH|ALOR STAR|TAJAR|0
020129000|KEDAH|ALOR STAR|TEBENGAU|0
020130000|KEDAH|ALOR STAR|TELAGA MAS|0
020131000|KEDAH|ALOR STAR|TELUK CENGAI|0
020132000|KEDAH|ALOR STAR|TELUK KECAI|0
020133000|KEDAH|ALOR STAR|TITI GAJAH|0
020134000|KEDAH|ALOR STAR|TUALANG|0
020140000|KEDAH|ALOR STAR|ALUR SETAR|0
020141000|KEDAH|ALOR STAR|ANAK BUKIT|0
020142000|KEDAH|ALOR STAR|KOTA SARANG SEMUT|0
020143000|KEDAH|ALOR STAR|KUALA KEDAH|0
020144000|KEDAH|ALOR STAR|LANGGAR|0
020145000|KEDAH|ALOR STAR|POKOK SENA|0
020146000|KEDAH|ALOR STAR|SIMPANG EMPAT|0
020170000|KEDAH|ALOR STAR|ALUR JANGGUS|0
020171000|KEDAH|ALOR STAR|BUKIT PINANG|0
020201000|KEDAH|KUBANG PASU|AH|0
020202000|KEDAH|KUBANG PASU|BINJAI|0
020203000|KEDAH|KUBANG PASU|BUKIT TINGGI|0
020204000|KEDAH|KUBANG PASU|GELUNG|0
020205000|KEDAH|KUBANG PASU|HOSBA|0
020206000|KEDAH|KUBANG PASU|JERAM|0
020207000|KEDAH|KUBANG PASU|JERLUN|0
020208000|KEDAH|KUBANG PASU|JITRA|0
020209000|KEDAH|KUBANG PASU|KEPELU|0
020210000|KEDAH|KUBANG PASU|KUBANG PASU|0
020211000|KEDAH|KUBANG PASU|MALAU|0
020212000|KEDAH|KUBANG PASU|NAGA|0
020213000|KEDAH|KUBANG PASU|PADANG PERAHU|0
020214000|KEDAH|KUBANG PASU|PELUBANG|0
020215000|KEDAH|KUBANG PASU|PERING|0
020216000|KEDAH|KUBANG PASU|PUTAT|0
020217000|KEDAH|KUBANG PASU|SANGLANG|0
020218000|KEDAH|KUBANG PASU|SUNGAI LAKA|0
020219000|KEDAH|KUBANG PASU|TEMIN|0
020220000|KEDAH|KUBANG PASU|TUNJANG|0
020221000|KEDAH|KUBANG PASU|WANG TEPUS|0
020240000|KEDAH|KUBANG PASU|CANGLUN|0
020241000|KEDAH|KUBANG PASU|JITRA|0
020242000|KEDAH|KUBANG PASU|KODIANG|0
020243000|KEDAH|KUBANG PASU|TUNJANG|0
020270000|KEDAH|KUBANG PASU|AIR HITAM|0
020271000|KEDAH|KUBANG PASU|ASUN|0
020272000|KEDAH|KUBANG PASU|BATU 17|0
020273000|KEDAH|KUBANG PASU|BATU 22|0
020274000|KEDAH|KUBANG PASU|JERLUN|0
020275000|KEDAH|KUBANG PASU|KEPALA BATAS|0
020276000|KEDAH|KUBANG PASU|KUALA SANGLANG|0
020277000|KEDAH|KUBANG PASU|KUBANG SEPAT|0
020278000|KEDAH|KUBANG PASU|MEGAT DEWA|0
020279000|KEDAH|KUBANG PASU|NAPUH|0
020280000|KEDAH|KUBANG PASU|PADANG SIRA|0
020281000|KEDAH|KUBANG PASU|SANGLANG|0
020282000|KEDAH|KUBANG PASU|SIMPANG EMPAT KERPAN|0
020283000|KEDAH|KUBANG PASU|SIMPANG EMPAT SUNGAI KOROK|0
020284000|KEDAH|KUBANG PASU|STESYEN KODIANG|0
020285000|KEDAH|KUBANG PASU|TANAH MERAH|0
020286000|KEDAH|KUBANG PASU|TOK JALAI|0
020301000|KEDAH|PADANG TERAP|BATANG TUNGGANG KANAN|0
020302000|KEDAH|PADANG TERAP|BATANG TUNGGANG KIRI|0
020303000|KEDAH|PADANG TERAP|BELIMBING KANAN|0
020304000|KEDAH|PADANG TERAP|BELIMBING KIRI|0
020305000|KEDAH|PADANG TERAP|KURUNG HITAM|0
020306000|KEDAH|PADANG TERAP|PADANG TEMAK|0
020307000|KEDAH|PADANG TERAP|PADANG TERAP KANAN|0
020308000|KEDAH|PADANG TERAP|PADANG TERAP KIRI|0
020309000|KEDAH|PADANG TERAP|PEDU|0
020310000|KEDAH|PADANG TERAP|TEKAI|0
020311000|KEDAH|PADANG TERAP|TOLAK|0
020340000|KEDAH|PADANG TERAP|KUALA NERANG|0
020370000|KEDAH|PADANG TERAP|NAKA|0
020401000|KEDAH|LANGKAWI|AIR HANGAT|0
020402000|KEDAH|LANGKAWI|BOHOR|0
020403000|KEDAH|LANGKAWI|KEDAWANG|0
020404000|KEDAH|LANGKAWI|KUAH|0
020405000|KEDAH|LANGKAWI|PADANG MAT SIRAT|0
020406000|KEDAH|LANGKAWI|HULU MELAKA|0
020440000|KEDAH|LANGKAWI|KUAH|0
020470000|KEDAH|LANGKAWI|PADANG MAT SIRAT|0
020501000|KEDAH|KUALA MUDA|BUJANG|0
020502000|KEDAH|KUALA MUDA|BUKIT MERIAM|0
020503000|KEDAH|KUALA MUDA|GURUN|0
020504000|KEDAH|KUALA MUDA|HAJI KUDUNG|0
020505000|KEDAH|KUALA MUDA|KOTA|0
020506000|KEDAH|KUALA MUDA|KUALA|0
020507000|KEDAH|KUALA MUDA|MERBUK|0
020508000|KEDAH|KUALA MUDA|PEKULA|0
020509000|KEDAH|KUALA MUDA|PINANG TUNGGAL|0
020510000|KEDAH|KUALA MUDA|RANTAU PANJANG|0
020511000|KEDAH|KUALA MUDA|SEMELING|0
020512000|KEDAH|KUALA MUDA|SIDAM KIRI|0
